title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Inside Job,series,15,"['Comedy', 'Animation']",53.615,"['Lizzy Caplan', 'Clark Duke', 'Christian Slater', 'Brett Gelman', 'John DiMaggio', 'Tisha Campbell-Martin', 'Bobby Lee', 'Andrew Daly', 'Chris Diamantopoulos']",,"['12/30/22', '12/16/22', '12/15/22', '12/15/22', '12/14/22', '12/14/22', '12/13/22', '11/22/22', '9/21/22', '3/4/22', '3/4/22', '3/3/22', '3/3/22', '3/3/22', '2/24/22']",97727.0,2021-10-22
Paradise PD,series,40,"['Comedy', 'Animation']",29.872,"['Kyle Kinane', 'Cedric Yarbrough', 'David Herman', 'Tom Kenny', 'Sarah Chalke', 'Dana Snyder']",,"['12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/28/22', '12/19/22', '7/10/21', '3/18/21', '3/18/21', '3/17/21', '3/17/21', '3/17/21', '3/16/21', '3/16/21', '3/16/21', '3/15/21', '3/15/21', '3/14/21', '3/14/21', '3/14/21', '3/14/21', '3/21/20', '3/20/20', '3/20/20', '3/18/20', '3/17/20', '3/17/20', '3/17/20', '3/17/20', '3/17/20', '3/16/20', '3/16/20', '3/16/20', '3/13/20', '3/13/20']",81983.0,2018-08-31
The IT Crowd,series,1,['Comedy'],36.171,"[""Chris O'Dowd"", 'Richard Ayoade', 'Katherine Parkinson', 'Chris Morris', 'Matt Berry']",,['12/29/22'],2490.0,2006-02-03
Wednesday,series,6,"['Sci-Fi & Fantasy', 'Mystery', 'Comedy']",502.521,"['Jenna Ortega', 'Emma Myers', 'Joy Sunday', 'Percy Hynes White', 'Hunter Doohan', 'Gwendoline Christie', 'Riki Lindhome', 'Jamie McShane', 'Moosa Mostafa', 'Christina Ricci']",,"['12/24/22', '12/24/22', '12/23/22', '12/23/22', '12/21/22', '12/19/22']",119051.0,2022-11-23
The Mole,series,1,['Reality'],12.321,['Alex Wagner'],,['10/31/22'],210939.0,2022-10-07
High Water,series,6,['Drama'],14.667,"['Agnieszka Żulewska', 'Tomasz Schuchardt', 'Ireneusz Czop', 'Anna Dymna', 'Jerzy Trela', 'Blanka Kot']",,"['10/19/22', '10/19/22', '10/19/22', '10/19/22', '10/18/22', '10/18/22']",130477.0,2022-10-05
DAHMER,series,2,"['Crime', 'Drama']",104.082,"['Evan Peters', 'Richard Jenkins', 'Molly Ringwald', 'Michael Learned', 'Niecy Nash']",,"['10/10/22', '10/10/22']",113988.0,2022-09-21
Demon Slayer,series,26,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",467.517,"['Natsuki Hanae', 'Akari Kito', 'Kengo Kawanishi', 'Kana Hanazawa', 'Nobuhiko Okamoto', 'Toshio Furukawa', 'Kohsuke Toriumi']",,"['10/10/22', '9/5/22', '9/5/22', '9/5/22', '9/5/22', '9/5/22', '8/30/22', '8/25/22', '8/25/22', '8/25/22', '8/23/22', '8/21/22', '8/20/22', '8/20/22', '8/20/22', '8/19/22', '8/15/22', '8/15/22', '8/15/22', '8/15/22', '8/15/22', '8/14/22', '8/14/22', '8/13/22', '8/13/22', '8/11/22']",85937.0,2019-04-06
The Sandman,series,1,"['Sci-Fi & Fantasy', 'Drama']",143.564,"['Tom Sturridge', 'Boyd Holbrook', 'Vivienne Acheampong', 'Patton Oswalt']",,['9/25/22'],90802.0,2022-08-05
Sense8,series,1,"['Sci-Fi & Fantasy', 'Drama']",37.909,"['Miguel Ángel Silvestre', 'Max Riemelt', 'Jamie Clayton', 'Bae Doona', 'Brian J. Smith', 'Tuppence Middleton', 'Tina Desai', 'Freema Agyeman', 'Naveen Andrews', 'Toby Onwumere']",,['9/22/22'],61664.0,2015-06-05
Brooklyn Nine-Nine,series,1,"['Comedy', 'Crime']",100.535,"['Andy Samberg', 'Melissa Fumero', 'Terry Crews', 'Joe Lo Truglio', 'Stephanie Beatriz', 'Andre Braugher', 'Dirk Blocker', 'Joel McKinnon Miller']",,['9/22/22'],48891.0,2013-09-17
iZombie,series,1,"['Drama', 'Crime', 'Sci-Fi & Fantasy']",75.486,"['Rose McIver', 'David Anders', 'Robert Buckley', 'Malcolm Goodwin', 'Rahul Kohli', 'Aly Michalka', 'Bryce Hodgson']",,['9/22/22'],60866.0,2015-03-17
The OA,series,16,"['Sci-Fi & Fantasy', 'Mystery', 'Drama']",25.467,"['Brit Marling', 'Jason Isaacs', 'Emory Cohen', 'Kingsley Ben-Adir', 'Phyllis Smith', 'Patrick Gibson', 'Brendan Meyer', 'Brandon Perea', 'Ian Alexander', 'Will Brill']",,"['9/21/22', '9/21/22', '4/6/22', '4/6/22', '4/5/22', '4/4/22', '3/29/22', '3/28/22', '3/28/22', '3/28/22', '3/28/22', '3/27/22', '3/25/22', '3/25/22', '3/24/22', '3/22/22']",69061.0,2016-12-16
Lucifer,series,92,"['Crime', 'Sci-Fi & Fantasy']",437.413,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside', 'Lesley-Ann Brandt', 'Aimee Garcia', 'Rachael Harris', 'Brianna Hildebrand']",,"['9/21/22', '9/13/21', '9/13/21', '9/11/21', '9/11/21', '9/11/21', '9/11/21', '9/10/21', '9/10/21', '9/10/21', '9/10/21', '9/10/21', '7/10/21', '7/10/21', '6/3/21', '6/3/21', '6/3/21', '6/3/21', '5/29/21', '5/28/21', '5/28/21', '5/24/21', '5/24/21', '5/24/21', '5/23/21', '5/23/21', '5/14/21', '5/5/21', '5/4/21', '5/3/21', '5/3/21', '5/1/21', '4/29/21', '4/29/21', '4/28/21', '4/28/21', '4/28/21', '4/28/21', '4/27/21', '4/27/21', '4/27/21', '4/27/21', '4/26/21', '4/26/21', '4/26/21', '4/26/21', '4/25/21', '4/25/21', '4/24/21', '4/24/21', '4/23/21', '4/22/21', '4/22/21', '4/22/21', '4/20/21', '4/20/21', '4/19/21', '4/19/21', '4/17/21', '4/17/21', '4/16/21', '4/15/21', '4/15/21', '4/14/21', '4/14/21', '4/14/21', '4/13/21', '4/13/21', '4/13/21', '4/12/21', '4/12/21', '4/12/21', '4/12/21', '4/11/21', '4/11/21', '4/11/21', '4/10/21', '4/10/21', '4/8/21', '4/7/21', '4/7/21', '4/7/21', '4/7/21', '4/6/21', '4/6/21', '4/6/21', '4/5/21', '4/5/21', '4/5/21', '4/4/21', '4/4/21', '4/3/21']",63174.0,2016-01-25
