title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
You,series,,"['Mystery', 'Crime', 'Drama']",,"['Penn Badgley', 'Charlotte Ritchie', 'Tilly Keeper', 'Amy-Leigh Hickman', 'Ed Speleers', 'Lukas Gage']",,,78191.0,2018-09-09
Orphan Black,series,,"['Drama', 'Sci-Fi & Fantasy']",,"['Tatiana Maslany', 'Jordan Gavaris', 'Josh Vokey', 'Maria Doyle Kennedy', 'Ari Millen', 'Kevin Hanchard', 'Kristian Bruun']",,,56296.0,2013-03-30
Total Drama,series,,"['Animation', 'Action & Adventure', 'Comedy']",,"['Nicki Burke', 'Stephanie Mills', 'Emilie-Claire Barlow', 'Jeff Geddis', 'Scott McCord', 'Bryn McAuley', 'Terry McGurrin', 'Dan Petronijevic', 'Evany Rosen', 'Lyon Smith']",,,67082.0,2015-09-07
Extracurricular,series,,"['Crime', 'Drama']",,"['Kim Dong-hee', 'Park Ju-hyun', 'Jung Da-bin', 'Nam Yoon-su', 'Kim Yeo-jin', 'Choi Min-soo', 'Park Hyeok-kwon', 'Seo Ye-hwa', 'Kim Kwang-kyu', 'Back Joo-hee']",,,90814.0,2020-04-29
On My Block,series,,['Comedy'],,"['Sierra Capri', 'Jason Genao', 'Brett Gray', 'Diego Tinoco', 'Jessica Marie Garcia']",,,76747.0,2018-03-16
Mr. Robot,series,,"['Crime', 'Drama']",,"['Rami Malek', 'Christian Slater', 'Carly Chaikin', 'BD Wong', 'Grace Gummer']",,,62560.0,2015-06-24
Squid Game,series,,"['Action & Adventure', 'Mystery', 'Drama']",,"['Lee Jung-jae', 'Park Hae-soo', 'Jung Ho-yeon', 'Wi Ha-jun', 'Oh Young-soo', 'Heo Sung-tae', 'Kim Joo-ryoung', 'Anupam Tripathi', 'Lee You-mi']",,,93405.0,2021-09-17
Sex Education,series,,"['Comedy', 'Drama']",,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey', 'Connor Swindells', 'Kedar Williams-Stirling', 'Alistair Petrie', 'Mimi Keene', 'Aimee Lou Wood', 'Chaneil Kular']",,,81356.0,2019-01-11
Between,series,,"['Sci-Fi & Fantasy', 'Drama']",,"['Jennette McCurdy', 'Jesse Carere', 'Ryan Allen', 'Justin Kelly', 'Kyle Mac', 'Samantha Munro', 'Jack Murray']",,,62433.0,2015-05-21
Always a Witch,series,,"['Sci-Fi & Fantasy', 'Drama']",,[],,,85703.0,2019-02-01
Orange Is the New Black,series,,"['Comedy', 'Drama']",,"['Taylor Schilling', 'Natasha Lyonne', 'Uzo Aduba', 'Danielle Brooks', 'Jackie Cruz', 'Selenis Leyva', 'Taryn Manning', 'Adrienne C. Moore', 'Dascha Polanco', 'Nick Sandow']",,,1424.0,2013-07-11
Atypical,series,,"['Drama', 'Comedy']",,"['Jennifer Jason Leigh', 'Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']",,,71578.0,2017-08-11
The Mire,series,,"['Drama', 'Crime']",,"['Krzysztof Oleksyn', 'Dawid Ogrodnik', 'Andrzej Seweryn', 'Zofia Wichłacz', 'Ireneusz Czop', 'Magdalena Różczka', 'Łukasz Simlat', 'Michał Pawlik', 'Mikołaj Chroboczek', 'Agnieszka Żulewska']",,,81686.0,2018-08-19
Messiah,series,,['Drama'],,"['Mehdi Dehbi', 'Michelle Monaghan', 'John Ortiz', 'Tomer Sisley', 'Stefania LaVie Owen', 'Sayyid El Alami', 'Wil Traval', 'Jane Adams', 'Fares Landoulsi', 'Melinda Page Hamilton']",,,81292.0,2020-01-01
Ozark,series,,"['Crime', 'Drama']",,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner', 'Julia Garner', 'Charlie Tahan']",,,69740.0,2017-07-21
Sexify,series,,"['Drama', 'Comedy']",,"['Aleksandra Skraba', 'Sandra Drzymalska', 'Maria Sobocińska']",,,100226.0,2021-04-28
To the Lake,series,,"['Sci-Fi & Fantasy', 'Drama']",,"['Kirill Käro', 'Viktoriya Isakova', 'Aleksandr Robak', 'Maryana Spivak', 'Yuriy Kuznetsov', 'Viktoriia Klinkova', 'Saveliy Kudryashov', 'Nikita Elenev', 'Askar Ilyasov', 'Yuriy Borisov']",,,95202.0,2019-11-14
Z Nation,series,,"['Mystery', 'Action & Adventure', 'Drama']",,"['Keith Allan', 'Kellita Smith', 'Anastasia Baranova', 'Nat Zang', 'Russell Hodgkinson', ""Katy O'Brian"", 'Gracie Gillam', 'DJ Qualls', 'Ramona Young', 'Tara Holt']",,,61345.0,2014-09-12
The Walking Dead,series,,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']",,"['Norman Reedus', 'Melissa McBride', 'Lauren Cohan', 'Christian Serratos', 'Josh McDermitt', 'Seth Gilliam', 'Ross Marquand', 'Khary Payton', 'Cooper Andrews', 'Callan McAuliffe']",,,1402.0,2010-10-31
El Chapo,series,,['Drama'],,"['Marco de la O', 'Valentina Acosta', 'Juan Carlos Olivas', 'Humberto Busto', 'Alejandro Aguilar', 'Hernán Romo', 'Tete Espinoza']",,,71411.0,2017-04-23
The Crown,series,,['Drama'],,"['Jonathan Pryce', 'Lesley Manville', 'Jonny Lee Miller', 'Dominic West', 'Elizabeth Debicki', 'Olivia Williams', 'Imelda Staunton']",,,65494.0,2016-11-04
Scream,series,,"['Drama', 'Crime', 'Mystery']",,"['RJ Cyler', 'Jessica Sula', 'Keke Palmer', 'Giorgia Whigham', 'Tyga']",,,62823.0,2015-06-30
Sluzby specjalne,series,,"['Crime', 'Action & Adventure']",,"['Janusz Chabior', 'Jan Frycz', 'Andrzej Grabowski', 'Wojciech Machnicki', 'Olga Bołądź', 'Agata Kulesza', 'Wojciech Zieliński', 'Kamilla Baar']",,,62907.0,2015-03-01
Lupin,series,,"['Crime', 'Drama', 'Mystery']",,['Omar Sy'],,,96677.0,2021-01-08
3%,series,,[],,"['Agoye Mahendra', 'Indah Nic', 'Daniel Rutters', 'I Gusti Ayu Pramita Dewi', 'Thessa Kaunang', 'Asri Handayani', 'Bopak Castello', 'Daus Separo']",,,222583.0,2023-03-20
The Queen's Gambit,series,,['Drama'],,"['Anya Taylor-Joy', 'Chloe Pirrie']",,,87739.0,2020-10-23
Barbarians,series,,['Documentary'],,['Clancy Brown'],,,14427.0,2004-12-22
Slasher,series,,"['Mystery', 'Crime', 'Drama']",,['Eric McCormack'],,,65784.0,2016-03-04
American Pie Presents,film,,['Comedy'],,"['Madison Pettis', 'Lizze Broadway', 'Piper Curda', 'Natasha Behnam', 'Darren Barnet', 'Zachary Gordon', 'Sara Rue', 'Jeannie Elise Mai', 'Lily Bleu Andrew', 'Stephanie Wong']",,,660982.0,2020-10-06
We Are the Wave,series,,['Drama'],,"['Luise Befort', 'Ludwig Simon', 'Michelle Barthel', 'Mohamed Issa', 'Daniel Friedl']",,,94660.0,2019-11-01
Locked Up,series,,['Drama'],,"['Najwa Nimri', 'Maggie Civantos', 'Berta Vázquez', 'Alba Flores', 'María Isabel Díaz Lago', 'Ramiro Blas', 'Marta Aledo', 'Laura Baena', 'Itziar Castro', 'Alberto Velasco']",,,62455.0,2015-04-20
The Rain,series,,"['Sci-Fi & Fantasy', 'Drama']",,"['Alba August', 'Lucas Lynggaard Tønnesen', 'Mikkel Boe Følsgaard', 'Lukas Løkken', 'Sonny Lindberg', 'Johannes Bah Kuhnke', 'Natalie Madueño', 'Clara Rosager', 'Evin Ahmad', 'Rex Leonard']",,,76719.0,2018-05-04
Hoops,series,,"['Comedy', 'Animation']",,"['Jake Johnson', 'Rob Riggle', 'Natasha Leggero', 'Cleo King', 'Ron Funches', 'A.D. Miles']",,,106238.0,2020-08-21
How to Sell Drugs Online (Fast),series,,"['Comedy', 'Crime', 'Drama']",,"['Maximilian Mundt', 'Danilo Kamperidis', 'Lena Klenke', 'Damian Hardung', 'Leonie Wesselow', 'Roland Riebeling', 'Jolina Amely Trinks']",,,88236.0,2019-05-31
Minecraft,series,,"['Action & Adventure', 'Comedy', 'Animation', 'Sci-Fi & Fantasy']",,"['Patton Oswalt', 'Catherine Taber', 'Ashley Johnson', 'Paul Reubens', 'JB Blanc', 'Yuri Lowenthal', 'Fred Tatasciore']",,,98545.0,2015-10-13
Dark,series,,"['Drama', 'Sci-Fi & Fantasy', 'Mystery']",,"['Louis Hofmann', 'Karoline Eichhorn']",,,70523.0,2017-12-01
Modern Family,series,,['Comedy'],,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell', 'Jesse Tyler Ferguson', 'Eric Stonestreet', 'Sarah Hyland', 'Ariel Winter', 'Nolan Gould', 'Rico Rodriguez']",,,1421.0,2009-09-23
The Woods,series,,"['Drama', 'Mystery']",,"['Grzegorz Damięcki', 'Hubert Miłkowski', 'Agnieszka Grochowska', 'Wiktoria Filus', 'Adam Wietrzyński', 'Jacek Koman', 'Ewa Skibińska', 'Roman Gancarczyk', 'Martyna Byczkowska', 'Krzysztof Zarzecki']",,,103425.0,2020-06-12
Friends,series,,"['Comedy', 'Drama']",,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc', 'Matthew Perry', 'David Schwimmer']",,,1668.0,1994-09-22
Elite,series,,"['Crime', 'Mystery', 'Drama']",,"['Manu Ríos', 'Carla Díaz', 'Martina Cariddi', 'Valentina Zenere', 'André Lamoglia', 'Carmen Arrufat', 'Ana Bokesa', 'Alex Pastrana', 'Ander Puig', 'Álvaro de Juana']",,,76669.0,2018-10-05
13 Reasons Why,series,,"['Drama', 'Mystery']",,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe', 'Brandon Flynn', 'Justin Prentice', 'Miles Heizer', 'Ross Butler', 'Devin Druid', 'Timothy Granaderos']",,,66788.0,2017-03-31
The Big Bang Theory,series,,['Comedy'],,"['Jim Parsons', 'Johnny Galecki', 'Kaley Cuoco', 'Simon Helberg', 'Kunal Nayyar', 'Melissa Rauch', 'Mayim Bialik']",,,1418.0,2007-09-24
The Last Dance,series,,['Documentary'],,"['Michael Jordan', 'Scottie Pippen', 'Dennis Rodman', 'Steve Kerr', 'Phil Jackson']",,,79525.0,2020-04-19
Limitless,series,,"['Sci-Fi & Fantasy', 'Crime', 'Drama', 'Action & Adventure']",,"['Jake McDorman', 'Jennifer Carpenter', 'Desmond Harrington', 'Mary Elizabeth Mastrantonio', 'Bradley Cooper', 'Hill Harper', 'Ron Rifkin', 'Blair Brown', 'Tom Degnan', 'Michael James Shaw']",,,62687.0,2015-09-22
Black Mirror,series,,"['Sci-Fi & Fantasy', 'Drama', 'Mystery']",,[],,,42009.0,2011-12-04
Money Heist,series,,"['Crime', 'Drama']",,"['Álvaro Morte', 'Pedro Alonso', 'Úrsula Corberó', 'Itziar Ituño', 'Jaime Lorente', 'Miguel Herrán', 'Esther Acebo', 'Najwa Nimri', 'Rodrigo de la Serna', 'Darko Peric']",,,71446.0,2017-05-02
Travis Scott,film,,"['Documentary', 'Music']",,"['Travis Scott', 'Stormi Webster', 'Sheck Wes', 'Mike Dean', 'Jimmy Fallon', 'Kevin Parker', 'John Mayer', 'DJ Screw', 'Jacques Webster', 'Bizzy']",,,625561.0,2019-08-28
Daybreak,series,,"['Sci-Fi & Fantasy', 'Action & Adventure']",,"['Colin Ford', 'Alyvia Alyn Lind', 'Austin Crute', 'Krysta Rodriguez', 'Gregory Kasyan', 'Sophie Simnett', 'Matthew Broderick', 'Cody Kearsley', 'Jon LeVert', 'Jeanté Godlock']",,,83478.0,2019-10-24
