title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Mamma Mia!,film,6,"['Comedy', 'Romance']",26.58,"['Meryl Streep', 'Amanda Seyfried', 'Pierce Brosnan', 'Stellan Skarsgård', 'Colin Firth', 'Julie Walters', 'Christine Baranski', 'Rachel McDowall', 'Nancy Baldwin', 'Heather Emmanuel']",9367,"[['2021-02-25', '2021-02-25', '2021-02-24', '2019-07-08', '2019-06-08', '2019-06-07']]",11631,2008-07-03
Project Power,film,1,"['Action', 'Crime', 'Science Fiction']",17.744,"['Jamie Foxx', 'Joseph Gordon-Levitt', 'Dominique Fishback', 'Rodrigo Santoro', 'Courtney B. Vance', 'Amy Landecker', 'Machine Gun Kelly', 'Tait Fletcher', 'Allen Maldonado', 'Andrene Ward-Hammond']",6211,[['2021-02-22']],605116,2020-08-14
Squared Love,film,1,"['Romance', 'Comedy']",13.24,"['Adrianna Chlebicka', 'Mateusz Banasiuk', 'Mirosław Baka', 'Anna Smołowik', 'Krzysztof Czeczot', 'Wojciech Kalarus', 'Bartłomiej Kotschedoff', 'Agnieszka Żulewska', 'Tomasz Karolak', 'Jacek Knap']",5489,[['2021-02-11']],787298,2021-02-11
Death to 2020,film,2,['Comedy'],9.127,"['Samuel L. Jackson', 'Hugh Grant', 'Lisa Kudrow', 'Kumail Nanjiani', 'Tracey Ullman', 'Samson Kayo', 'Leslie Jones', 'Diane Morgan', 'Cristin Milioti', 'Joe Keery']",1472,"[['2021-01-06', '2021-01-05']]",773655,2020-12-27
If Anything Happens I Love You,film,2,"['Drama', 'Animation']",11.414,[],1370,"[['2021-01-05', '2020-11-27']]",713776,2020-03-07
Inception,film,2,"['Action', 'Science Fiction', 'Adventure']",70.31,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite']",9202,"[['2020-12-30', '2019-04-16']]",27205,2010-07-15
How the Grinch Stole Christmas,film,2,"['Family', 'Comedy', 'Fantasy']",37.008,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling', 'Bryce Dallas Howard']",6687,"[['2020-12-19', '2019-10-26']]",8871,2000-11-15
Bee Movie,film,1,"['Family', 'Animation', 'Adventure', 'Comedy']",29.709,"['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton', 'John Goodman', 'Chris Rock', 'Kathy Bates', 'Barry Levinson', 'Megan Mullally', 'Rip Torn']",52,[['2020-12-12']],5559,2007-10-28
The Trial of the Chicago 7,film,1,"['Drama', 'History']",14.75,"['Eddie Redmayne', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton', 'Frank Langella', 'John Carroll Lynch', 'Mark Rylance', 'Alex Sharp', 'Yahya Abdul-Mateen II', 'Jeremy Strong']",1639,[['2020-11-29']],556984,2020-09-25
Rebecca,film,1,"['Mystery', 'Drama', 'Thriller', 'Romance']",14.267,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson', 'Nigel Bruce', 'Reginald Denny', 'C. Aubrey Smith', 'Gladys Cooper', 'Florence Bates', 'Melville Cooper']",6058,[['2020-11-08']],223,1940-03-23
"Definitely, Maybe",film,1,"['Comedy', 'Romance']",14.646,"['Ryan Reynolds', 'Abigail Breslin', 'Elizabeth Banks', 'Isla Fisher', 'Rachel Weisz', 'Kevin Kline', 'Derek Luke', 'Liane Balaban', 'Annie Parisse', 'Nestor Serrano']",1392,[['2020-11-08']],8390,2008-02-08
Holidate,film,1,"['Comedy', 'Romance']",18.06,"['Emma Roberts', 'Luke Bracey', 'Kristin Chenoweth', 'Frances Fisher', 'Andrew Bachelor', 'Manish Dayal', 'Jessica Capshaw', 'Alex Moffat', 'Cynthy Wu', 'Jake Manley']",5044,[['2020-11-07']],615665,2020-10-27
The Theory of Everything,film,1,"['Drama', 'Romance']",21.62,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney', 'David Thewlis', 'Maxine Peake', 'Harry Lloyd', 'Tom Prior', 'Sophie Perry']",543,[['2020-11-07']],266856,2014-11-26
365 Days,film,9,"['Romance', 'Drama']",134.637,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna', 'Magdalena Lamparska', 'Otar Saralidze', 'Ewa Kasprzyk', 'Dariusz Jakubowski', 'Ramón Langa', 'Tomasz Mandes', 'Natalia Siwiec']",11334,"[['2020-10-11', '2020-06-10', '2020-06-10', '2020-06-10', '2020-06-10', '2020-06-10', '2020-06-10', '2020-06-10', '2020-06-09']]",829560,2022-08-19
