title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Squared Love,film,,"['Romance', 'Comedy']",,"['Adrianna Chlebicka', 'Mateusz Banasiuk', 'Mirosław Baka', 'Anna Smołowik', 'Krzysztof Czeczot', 'Wojciech Kalarus', 'Bartłomiej Kotschedoff', 'Agnieszka Żulewska', 'Tomasz Karolak', 'Jacek Knap']",,,787298.0,2021-02-11
Death to 2020,film,,['Comedy'],,"['Samuel L. Jackson', 'Hugh Grant', 'Lisa Kudrow', 'Kumail Nanjiani', 'Tracey Ullman', 'Samson Kayo', 'Leslie Jones', 'Diane Morgan', 'Cristin Milioti', 'Joe Keery']",,,773655.0,2020-12-27
If Anything Happens I Love You,film,,"['Drama', 'Animation']",,[],,,713776.0,2020-03-07
Inception,film,,"['Action', 'Science Fiction', 'Adventure']",,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite']",,,27205.0,2010-07-15
How the Grinch Stole Christmas,film,,"['Family', 'Comedy', 'Fantasy']",,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling', 'Bryce Dallas Howard']",,,8871.0,2000-11-15
Bee Movie,film,,"['Family', 'Animation', 'Adventure', 'Comedy']",,"['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton', 'John Goodman', 'Chris Rock', 'Kathy Bates', 'Barry Levinson', 'Megan Mullally', 'Rip Torn']",,,5559.0,2007-10-28
The Trial of the Chicago 7,film,,"['Drama', 'History']",,"['Eddie Redmayne', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton', 'Frank Langella', 'John Carroll Lynch', 'Mark Rylance', 'Alex Sharp', 'Yahya Abdul-Mateen II', 'Jeremy Strong']",,,556984.0,2020-09-25
Rebecca,film,,"['Mystery', 'Drama', 'Thriller', 'Romance']",,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson', 'Nigel Bruce', 'Reginald Denny', 'C. Aubrey Smith', 'Gladys Cooper', 'Florence Bates', 'Melville Cooper']",,,223.0,1940-03-23
"Definitely, Maybe",film,,"['Comedy', 'Romance']",,"['Ryan Reynolds', 'Abigail Breslin', 'Elizabeth Banks', 'Isla Fisher', 'Rachel Weisz', 'Kevin Kline', 'Derek Luke', 'Liane Balaban', 'Annie Parisse', 'Nestor Serrano']",,,8390.0,2008-02-08
Holidate,film,,"['Comedy', 'Romance']",,"['Emma Roberts', 'Luke Bracey', 'Kristin Chenoweth', 'Frances Fisher', 'Andrew Bachelor', 'Manish Dayal', 'Jessica Capshaw', 'Alex Moffat', 'Cynthy Wu', 'Jake Manley']",,,615665.0,2020-10-27
The Theory of Everything,film,,"['Drama', 'Romance']",,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney', 'David Thewlis', 'Maxine Peake', 'Harry Lloyd', 'Tom Prior', 'Sophie Perry']",,,266856.0,2014-11-26
365 Days,film,,"['Romance', 'Drama']",,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna', 'Magdalena Lamparska', 'Otar Saralidze', 'Ewa Kasprzyk', 'Dariusz Jakubowski', 'Ramón Langa', 'Tomasz Mandes', 'Natalia Siwiec']",,,829560.0,2022-08-19
The Social Dilemma,film,,"['Documentary', 'Drama']",,"['Skyler Gisondo', 'Kara Hayward', 'Vincent Kartheiser', 'Tristan Harris', 'Jaron Lanier', 'Sophia Hammons', 'Catalina Garayoa', 'Barbara Gehring', 'Chris Grundy', 'Vic Alejandro']",,,656690.0,2020-01-26
Enola Holmes,film,,"['Adventure', 'Mystery', 'Comedy', 'Crime']",,"['Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin', 'Helena Bonham Carter', 'Louis Partridge', 'Adeel Akhtar', 'Fiona Shaw', 'Frances de la Tour', 'Burn Gorman', 'Susan Wokoma']",,,497582.0,2020-09-23
Pride & Prejudice,film,,"['Family', 'Adventure', 'Animation', 'Action']",,"['Matthew Broderick', 'Neve Campbell', 'Jason Marsden', 'Nathan Lane', 'Ernie Sabella', 'Andy Dick', 'Robert Guillaume', 'James Earl Jones', 'Moira Kelly', 'Suzanne Pleshette']",,,9732.0,1998-10-24
Before I Fall,film,,"['Drama', 'Mystery', 'Thriller', 'Fantasy']",,"['Zoey Deutch', 'Halston Sage', 'Elena Kampouris', 'Jennifer Beals', 'Logan Miller', 'Cynthy Wu', 'Erica Tremblay', 'Medalion Rahimi', 'Diego Boneta', 'Kian Lawley']",,,397837.0,2017-03-02
Honey 2,film,,"['Music', 'Comedy', 'Drama']",,"['Kat Graham', 'Randy Wayne', 'Seychelle Gabriel', 'Audrina Patridge', 'Melissa Molinaro', 'Mario López', 'Christopher Martinez', 'Casper Smart', 'Lonette McKee', 'Brandon Molale']",,,63710.0,2011-06-23
Knock Down The House,film,,['Documentary'],,"['Alexandria Ocasio-Cortez', 'Cori Bush', 'Paula Jean Swearingen', 'Amy Vilela', 'Joe Crowley', 'Nancy Pelosi', 'Ilhan Omar']",,,565312.0,2019-01-27
The Kissing Booth 2,film,,"['Comedy', 'Romance']",,"['Joey King', 'Jacob Elordi', 'Joel Courtney', 'Molly Ringwald', 'Taylor Zakhar Perez', 'Maisie Richardson-Sellers', 'Meganne Young', 'Stephen Jennings', 'Carson White', 'Bianca Bosch']",,,583083.0,2020-07-24
The First Purge,film,,"['Horror', 'Action', 'Thriller']",,"['Marisa Tomei', 'Patch Darragh', 'Kristen Solis', ""Y'lan Noel"", 'Christian Robinson', 'Lex Scott Davis', 'Joivan Wade', 'Mugga', 'Luna Lauren Velez', 'Maria Rivera']",,,442249.0,2018-07-04
Aloha,film,,"['Drama', 'Comedy', 'Romance']",,"['Bradley Cooper', 'Emma Stone', 'Rachel McAdams', 'Bill Murray', 'John Krasinski', 'Danny McBride', 'Alec Baldwin', 'Bill Camp', 'Jaeden Martell', 'Danielle Rose Russell']",,,222936.0,2015-05-29
13TH,film,,['Documentary'],,"['Jelani Cobb', 'Angela Davis', 'Henry Louis Gates, Jr.', 'Michelle Alexander', 'Cory Booker', 'Marie Gottschalk', 'Michael Hough', 'Gina Clayton', 'David Keene', 'James Kilgore']",,,407806.0,2016-10-07
Grease 2,film,,"['Comedy', 'Music', 'Romance']",,"['Maxwell Caulfield', 'Michelle Pfeiffer', 'Lorna Luft', 'Maureen Teefy', 'Alison Price', 'Pamela Adlon', 'Adrian Zmed', 'Peter Frechette', 'Christopher McDonald', 'Leif Green']",,,9037.0,1982-06-11
Becoming,film,,"['Science Fiction', 'Drama', 'Thriller', 'Horror']",,"['Toby Kebbell', 'Penelope Mitchell', 'Jason Patric', 'Jeff Daniel Phillips', 'Beth Broderick', 'Stephen Rider', 'Melissa Bolona', 'Lew Temple', 'John Newberg', 'Dan Southworth']",,,526052.0,2020-04-16
The Mummy,film,,"['Adventure', 'Action', 'Fantasy']",,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Patricia Velásquez', ""Kevin J. O'Connor"", 'Jonathan Hyde', 'Oded Fehr', 'Erick Avari', 'Stephen Dunham']",,,564.0,1999-04-16
Ocean's Eleven,film,,"['Thriller', 'Crime']",,"['George Clooney', 'Matt Damon', 'Andy García', 'Brad Pitt', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Elliott Gould', 'Eddie Jemison', 'Bernie Mac']",,,161.0,2001-12-07
