title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
The Witcher,series,10,"['Drama', 'Action & Adventure', 'Sci-Fi & Fantasy']",106.028,"['Henry Cavill', 'Anya Chalotra', 'Freya Allan', 'Mimi Ndiweni']",,"['2/3/22', '2/2/22', '2/17/20', '2/12/20', '2/12/20', '2/12/20', '2/11/20', '2/8/20', '2/8/20', '2/8/20']",71912.0,2019-12-20
The Fall,series,2,"['Drama', 'Crime']",28.308,"['Gillian Anderson', 'Jamie Dornan', 'Niamh McGrady', 'John Lynch', 'Colin Morgan', 'Stuart Graham', 'Valene Kane', 'Bronagh Waugh', 'Aisling Franciosi']",,"['1/20/22', '1/20/22']",49010.0,2013-05-12
Designated Survivor,series,6,"['Drama', 'War & Politics']",93.965,"['Kiefer Sutherland', 'Maggie Q', 'Kal Penn', 'Adan Canto', 'Italia Ricci', 'Emiliano Díez']",,"['1/20/22', '1/14/22', '1/13/22', '1/13/22', '1/12/22', '1/12/22']",67026.0,2016-09-21
StartUp,series,1,"['Crime', 'Drama']",24.186,"['Adam Brody', 'Edi Gathegi', 'Otmara Marrero', 'Ron Perlman', 'Martin Freeman', 'Addison Timlin']",,['1/11/22'],66310.0,2016-09-06
Bad Blood,series,14,"['Crime', 'Drama']",12.733,"['Louis Ferreira', 'Kim Coates']",,"['1/11/22', '1/11/22', '1/10/22', '1/9/22', '1/9/22', '1/9/22', '1/8/22', '1/8/22', '1/8/22', '1/7/22', '1/7/22', '1/7/22', '1/6/22', '1/6/22']",72742.0,2017-09-21
Suburra,series,13,"['Crime', 'Drama']",25.519,"['Alessandro Borghi', 'Giacomo Ferrara', 'Carlotta Antonelli', 'Federica Sabatini', 'Filippo Nigro', 'Adamo Dionisi', 'Paola Sotgiu', 'Alessandro Bernardini']",,"['12/16/21', '12/16/21', '12/16/21', '12/15/21', '12/15/21', '12/15/21', '12/14/21', '12/14/21', '12/14/21', '12/14/21', '12/14/21', '12/14/21', '12/13/21']",73671.0,2017-10-06
Narcos,series,60,"['Crime', 'Drama']",71.401,"['Pedro Pascal', 'Matias Varela', 'Damián Alcázar', 'Francisco Denis', 'Alberto Ammann', 'Pêpê Rapazote', 'Arturo Castro', 'Michael Stahl-David', 'Matt Whelan', 'Andrea Londo']",,"['12/13/21', '12/12/21', '12/12/21', '12/11/21', '12/11/21', '12/11/21', '12/11/21', '12/10/21', '12/10/21', '12/10/21', '3/9/21', '3/7/21', '3/7/21', '3/6/21', '3/6/21', '3/5/21', '3/5/21', '3/3/21', '3/3/21', '3/1/21', '2/28/21', '2/28/21', '2/28/21', '2/28/21', '2/27/21', '2/27/21', '2/27/21', '2/16/21', '2/16/21', '2/15/21', '1/20/21', '1/20/21', '1/20/21', '1/20/21', '1/20/21', '1/20/21', '1/19/21', '1/19/21', '1/19/21', '1/18/21', '1/18/21', '1/15/21', '1/15/21', '1/14/21', '1/14/21', '1/14/21', '1/13/21', '1/12/21', '1/12/21', '1/12/21', '1/11/21', '1/11/21', '1/11/21', '1/11/21', '1/10/21', '1/10/21', '1/10/21', '1/10/21', '1/9/21', '1/9/21']",63351.0,2015-08-28
Breaking Bad,series,62,"['Drama', 'Crime']",264.326,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Jonathan Banks', 'Bob Odenkirk', 'Betsy Brandt', 'RJ Mitte']",,"['11/28/21', '11/20/21', '11/20/21', '11/20/21', '11/19/21', '11/19/21', '11/19/21', '11/19/21', '11/19/21', '11/18/21', '11/18/21', '11/18/21', '11/17/21', '11/17/21', '11/17/21', '11/16/21', '11/16/21', '11/16/21', '11/15/21', '11/15/21', '11/15/21', '11/15/21', '11/14/21', '11/14/21', '11/14/21', '11/13/21', '11/13/21', '11/12/21', '11/12/21', '11/11/21', '11/11/21', '11/10/21', '11/10/21', '11/9/21', '11/9/21', '11/8/21', '11/8/21', '11/7/21', '11/7/21', '11/7/21', '11/7/21', '11/6/21', '11/6/21', '11/6/21', '11/6/21', '11/5/21', '11/5/21', '11/5/21', '11/5/21', '11/3/21', '11/3/21', '11/3/21', '11/1/21', '11/1/21', '11/1/21', '10/31/21', '10/31/21', '10/31/21', '10/31/21', '10/30/21', '10/30/21', '10/30/21']",1396.0,2008-01-20
El Camino,series,1,"['Drama', 'Comedy']",0.841,"['Fernando Aguilera', 'Enriqueta Carballeira', 'Francisco Casares', 'Félix Rotaeta', 'Paco Sañudo', 'Amparo Baró', 'Alicia Hermida', 'Antonio Gamero', 'Paloma Hurtado']",,['11/26/21'],84912.0,1978-04-17
Suits,series,1,['Drama'],269.434,"['Gabriel Macht', 'Sarah Rafferty', 'Amanda Schull', 'Rick Hoffman', 'Dulé Hill', 'Katherine Heigl']",,['11/4/21'],37680.0,2011-06-23
The Blacklist,series,7,"['Drama', 'Crime', 'Mystery']",418.208,"['James Spader', 'Diego Klattenhoff', 'Harry Lennix', 'Hisham Tawfiq', 'Anya Banerjee']",,"['10/28/21', '10/28/21', '10/28/21', '10/27/21', '10/27/21', '10/26/21', '10/26/21']",46952.0,2013-09-23
Frontier,series,18,"['Action & Adventure', 'Drama']",31.952,"['Jason Momoa', 'Landon Liboiron', 'Alun Armstrong', 'Jessica Matten', 'Zoe Boyle', 'Lyla Porter-Follows', 'Allan Hawco', 'Christian McKay', 'William Belleau', 'Evan Jonigkeit']",,"['10/25/21', '10/24/21', '10/24/21', '10/24/21', '10/23/21', '10/23/21', '10/22/21', '10/21/21', '10/21/21', '10/21/21', '10/21/21', '10/20/21', '10/20/21', '10/20/21', '10/20/21', '10/19/21', '10/18/21', '10/18/21']",64555.0,2016-11-06
Barbarians,series,4,['Documentary'],2.379,['Clancy Brown'],,"['10/18/21', '10/15/21', '10/15/21', '10/15/21']",14427.0,2004-12-22
Rise of Empires,series,1,"['Documentary', 'War & Politics', 'Action & Adventure']",27.461,"['Cem Yiğit Üzümoğlu', 'Daniel Nuță', 'Charles Dance', 'Ali Gözüşirin', 'Nik Xhelilaj', 'Radu Andrei Micu', 'Tuba Büyüküstün']",,['10/14/21'],96481.0,2020-01-24
